speciesID,genus,specificEpithet,scientificName
1416627600,microtus,californicus,microtus californicus kernensis
621625598,tamias,,tamias sp.
1409889996,microtus,californicus,microtus californicus scirpensis
1323405193,microtus,pinetorum,microtus pinetorum
1390967007,dipodomys,spectabilis,dipodomys spectabilis
1817679993,thomomys,bottae,thomomys bottae fumosus
1641262209,tamias,senex,tamias senex senex
1598004609,microtus,,microtus sp.
2047515209,microtus,californicus,microtus californicus ssp.
2131491389,thomomys,talpoides,thomomys talpoides fisheri
821772989,myodes,gapperi,clethrionomys gapperi gapperi
1077630412,tamias,alpinus,tamias alpinus
961560216,thomomys,bottae,thomomys bottae mewa
1090114384,dipodomys,agilis,dipodomys agilis
1451767982,dipodomys,microps,dipodomys microps centralis
973930782,microtus,californicus,microtus californicus
807887182,tamias,quadrivittatus,eutamias quadrivitatus
873262618,dipodomys,californicus,dipodomys californicus
734510620,dipodomys,microps,dipodomys microps
1522935780,microtus,montanus,microtus montanus dutcheri
150408580,dipodomys,agilis,dipodomys agilus
991102422,microtus,californicus,microtus californicus sanpabloensis
503108823,tamias,ochrogenys,tamias ochrogenys
318277024,microtus,townsendii,microtus townsendii
597275825,microtus,oregoni,microtus oregoni
1831244774,microtus,californicus,microtus californicus eximius
1249055972,dipodomys,agilis,dipodomys agilis simulans
2027910029,thomomys,,thomomys sp.
136900629,tamias,canipes,tamias canipes
717490232,dipodomys,microps,dipodomys microps occidentalis
1660660167,tamias,amoenus,tamias amoenus cratericus
225784962,tamias,minimus,tamias minimus
2138821762,tamias,palmeri,tamias palmeri
637496039,thomomys,bottae,thomomys bottae pascalis
1346716757,microtus,mexicanus,microtus mogollonensis
301289843,tamias,speciosus,tamias speciosus
1773312443,thomomys,talpoides,thomomys talpoides rostralis
2036618844,dipodomys,ordii,dipodomys ordi
563050045,dipodomys,elator,dipodomys elator
1406474247,microtus,richardsoni,microtus richardsoni arvicoloides
1714954953,thomomys,talpoides,thomomys talpoides monoensis
1568638048,tamias,siskiyou,tamias siskiyou
579241351,dipodomys,ordii,dipodomys ordii sanrafaeli
249539551,microtus,ochrogaster,microtus ochrogaster ohionensis
1927608747,tamias,striatus,tamias striatus
267475253,myodes,rutilus,myodes rutilus dawsoni
1122157854,tamias,merriami,tamias merriami merriami
1820478545,dipodomys,agilis,dipodomys agilis
1186261856,tamias,cinereicollis,tamias cinereicollis
1599676343,dipodomys,deserti,dipodomys deserti deserti
1036888257,microtus,ochrogaster,microtus ochrogaster ochrogaster
1919423458,tamias,quadrimaculatus,tamias quadrimaculatus
1125287859,thomomys,monticola,thomomys monticola
1854511459,dipodomys,panamintinus,dipodomys panamintinus mohavensis
1105048259,thomomys,talpoides,thomomys talpoides rufescens
1645298739,dipodomys,nitratoides,dipodomys nitratoides brevinasus
732443867,microtus,ochrogaster,microtus ochrogaster
211708069,microtus,pennsylvanicus,microtus pennsylvanicus cf.
615681530,myodes,gapperi,myodes gapperi
2082399130,thomomys,talpoides,thomomys talpoides quadratus
719445927,microtus,californicus,microtus californicus vallicola
1877139073,dipodomys,agilis,dipodomis agilis
2033031125,tamias,minimus,tamias minimus scrutator
1956748478,microtus,californicus,microtus californicus sanctidiegi
1601634878,tamias,umbrinus,tamias umbrinus
176441119,tamias,rufus,tamias rufus
1494958519,dipodomys,heermanni,dipodomys heermanni heermanni
1429980281,myodes,,myodes sp.
2145954682,dipodomys,agilis,dipodomys agilis
1946297516,microtus,montanus,microtus montanus
1104284886,tamias,speciosus,tamias speciosus frater
679760888,microtus,californicus,microtus californicus mohavensis
861298511,tamias,umbrinus,tamias umbrinus inyoensis
1639948711,dipodomys,heermanni,dipodomys heermanni berkeleyensis
1509761890,dipodomys,californicus,dipodomys californicus californicus
880917310,thomomys,idahoensis,thomomys idahoensis
346468891,tamias,dorsalis,tamias dorsalis
382874097,myodes,rutilus,myodes rutilus
802023698,microtus,townsendii,microtus townsendii townsendii
294005701,dipodomys,merriami,dipodomys merriami
411735100,microtus,californicus,microtus californicus californicus
468047700,microtus,mexicanus,microtus mexicanus
765783100,thomomys,bottae,thomomys bottae navus
45751299,thomomys,talpoides,thomomys talpoides ocius
30408498,tamias,minimus,tamias minimus grisescens
1663903698,dipodomys,heermanni,dipodomys heermanni arenae
90045296,tamias,panamintinus,tamias panamintinus panamintinus
1156314495,dipodomys,deserti,dipodomys deserti
557360094,tamias,merriami,tamias merriami pricei
663074507,thomomys,bottae,thomomys bottae laticeps
1698399509,tamias,quadrivittatus,tamias quadrivittatus hopiensis
274387109,microtus,californicus,microtus californicus aestuarinus
1178609490,tamias,townsendii,tamias townsendii
343562890,dipodomys,ordii,dipodomys ordii sp.
898126711,microtus,pinetorum,microtus pinetorum nemoralis
716638512,thomomys,bottae,thomomys bottae aureus
1896284886,tamias,quadrivittatus,tamias quadrivittatus
975475915,tamias,,tamias
1077494685,microtus,montanus,microtus montanus micropus
1514560321,dipodomys,microps,dipodomys microps microps
1601081479,tamias,siskiyou,tamias siskiyou siskiyou
1033983679,dipodomys,,dipodomys sp.
591608724,dipodomys,heermanni,dipodomys heermanni jolonensis
1827428474,dipodomys,compactus,dipodomys compactus
102103874,thomomys,bottae,thomomys bottae saxatilis
2056483533,thomomys,bottae,thomomys bottae bottae
1406373536,microtus,montanus,microtus montanus montanus
987819936,tamias,minimus,tamias minimus consobrinus
428179537,thomomys,bottae,thomomys bottae
159854463,dipodomys,panamintinus,dipodomys panamintinus leucogenys
729443938,tamias,amoenus,tamias amoenus
268856858,thomomys,talpoides,thomomys talpoides fossor
335209743,tamias,senex,tamias senex
509170743,microtus,pennsylvanicus,microtus pennsylvanicus funebris
82917256,tamias,panamintinus,tamias panamintinus
195874144,dipodomys,venustus,dipodomys venustus
199146745,tamias,ruficaudus,tamias ruficaudus
346811453,dipodomys,heermanni,dipodomys heermanni swarthi
596225452,microtus,chrotorrhinus,microtus chrotorrhinus
1980267248,thomomys,bottae,thomomys bottae perpallidus
312226752,tamias,minimus,tamias minimus operarius
1023374553,microtus,canicaudus,microtus canicaudus
246131553,microtus,townsendii,microtus townsendi
604099246,dipodomys,agilis,dipodomys agilia
596319155,myodes,californicus,myodes californicus
768062955,microtus,californicus,microtus californicus halophilus
1021442759,microtus,pennsylvanicus,microtus pennsylvanicus
283111960,dipodomys,ingens,dipodomys ingens
1127243640,thomomys,bulbivorus,thomomys bulbivorus
544668361,dipodomys,ordii,dipodomys ordii
498885961,tamias,quadrivittatus,neotamias quadrivittatus
524587762,thomomys,bottae,thomomys bottae nigricans
1918900637,tamias,sonomae,tamias sonomae
178492437,thomomys,umbrinus,thomomys umbrinus
1087802163,tamias,striatus,tamias striatus ohioensis
2039807564,dipodomys,merriami,dipodomys merriami olivaceus
11407635,tamias,quadrivittatus,tamias quadrivittatus cf.
1575766234,microtus,montanus,microtus montanus canicaudus
649255633,microtus,pennsylvanicus,microtus pennsylvanicus pennsylvanicus
2071098368,dipodomys,panamintinus,dipodomys panamintinus panamintinus
2096324769,tamias,amoenus,tamias amoenus celeris
868071773,dipodomys,agilis,dipodomys  agilis
1889664626,tamias,amoenus,tamias amoenus monoensis
1704529174,microtus,oregoni,microtus oregoni oregoni
1399029177,microtus,richardsoni,microtus richardsoni
984740380,thomomys,talpoides,thomomys talpoides
842065620,dipodomys,agilis,cipodomys agilis
111554419,dipodomys,merriami,dipodomys merriami merriami
2124934781,thomomys,townsendii,thomomys townsendii nevadensis
1229966818,dipodomys,ordii,dipodomys ordii columbianus
198801617,thomomys,bottae,thomomys bottae awahnee
1549682016,dipodomys,microps,dipodomys microps levipes
1264854016,dipodomys,ordii,dipodomys ordii longipes
63939985,microtus,californicus,microtus californicus mariposae
1015025786,dipodomys,californicus,dipodomys californicus saxatilis
1301523989,tamias,speciosus,tamias speciosus sequoiensis
1928289190,dipodomys,heermanni,dipodomys heermanni dixoni
1850037809,thomomys,bottae,thomomys bottae operarius
2052042592,microtus,pinetorum,microtus pinetorum auricularis
1534272607,dipodomys,agilis,dipodomys agilis perplexus
1860190806,dipodomys,ordii,dipodomys ordii cf.
261021805,dipodomys,heermanni,dipodomys heermanni tularensis
1186464404,microtus,montanus,microtus montanus yosemite
1212280403,tamias,amoenus,tamias amoenus amoenus
